year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,23680,12.82,10.35,10.35,2.73,A,090
2026,23700,2.51,2.53,2.53,0.49,A,010
2026,23800,14.36,10.93,10.93,3.05,A,090
2026,23802,17.96,13.61,13.61,3.83,A,090
2026,23900,20.20,13.13,13.13,4.30,A,090
2026,23920,15.82,11.79,11.79,3.36,A,090
2026,23921,5.58,6.97,6.97,1.20,A,090
2026,23929,0.00,0.00,0.00,0.00,C,YYY
2026,23930,2.92,2.61,7.88,0.61,A,010
2026,23931,1.79,2.61,7.56,0.35,A,010
2026,23935,6.22,7.31,7.31,1.30,A,090
2026,24000,5.93,6.66,6.66,1.22,A,090
2026,24006,9.50,8.46,8.46,1.93,A,090
2026,24065,2.08,2.09,5.49,0.28,A,010
2026,24066,5.22,6.03,14.13,1.20,A,090
2026,24071,5.56,4.86,4.86,1.31,A,090
2026,24073,9.88,7.43,7.43,2.25,A,090
2026,24075,4.13,4.57,12.02,0.90,A,090
2026,24076,7.22,6.82,6.82,1.56,A,090
2026,24077,15.33,9.82,9.82,3.53,A,090
2026,24079,20.09,12.00,12.00,4.62,A,090
2026,24100,4.94,6.30,6.30,1.07,A,090
2026,24101,6.14,7.06,7.06,1.25,A,090
2026,24102,8.05,7.66,7.66,1.62,A,090
2026,24105,3.69,6.28,6.28,0.75,A,090
2026,24110,7.39,7.99,7.99,1.57,A,090
2026,24115,9.87,8.78,8.78,2.10,A,090
2026,24116,11.92,9.43,9.43,2.54,A,090
2026,24120,6.65,7.20,7.20,1.34,A,090
2026,24125,7.94,8.17,8.17,1.69,A,090
2026,24126,8.40,8.31,8.31,1.78,A,090
2026,24130,6.26,7.04,7.04,1.23,A,090
2026,24134,9.96,8.97,8.97,2.12,A,090
2026,24136,8.19,8.05,8.05,1.74,A,090
2026,24138,8.29,9.74,9.74,1.76,A,090
2026,24140,9.31,8.42,8.42,1.91,A,090
2026,24145,7.61,7.71,7.71,1.63,A,090
2026,24147,7.64,8.69,8.69,1.53,A,090
2026,24149,15.81,13.65,13.65,3.18,A,090
2026,24150,22.87,14.09,14.09,4.87,A,090
2026,24152,19.49,13.01,13.01,4.15,A,090
2026,24155,11.79,9.39,9.39,2.51,A,090
2026,24160,18.16,12.34,12.34,3.88,A,090
2026,24164,9.75,8.60,8.60,2.08,A,090
2026,24200,1.76,2.17,5.16,0.36,A,010
2026,24201,4.58,6.18,14.41,0.99,A,090
2026,24220,1.28,0.27,4.17,0.13,A,000
2026,24300,3.94,8.66,8.66,0.76,A,090
2026,24301,10.12,8.75,8.75,2.11,A,090
2026,24305,7.43,7.35,7.35,1.41,A,090
2026,24310,5.97,6.12,6.12,1.15,A,090
2026,24320,10.59,9.00,9.00,2.25,A,090
2026,24330,9.55,8.68,8.68,2.04,A,090
2026,24331,10.68,9.03,9.03,2.27,A,090
2026,24332,7.71,8.31,8.31,1.64,A,090
2026,24340,7.88,7.97,7.97,1.62,A,090
2026,24341,9.25,10.12,10.12,1.83,A,090
2026,24342,10.59,8.74,8.74,2.11,A,090
2026,24343,8.93,9.55,9.55,1.78,A,090
2026,24344,14.83,12.86,12.86,3.16,A,090
2026,24345,8.93,9.45,9.45,1.82,A,090
2026,24346,14.83,12.86,12.86,3.16,A,090
2026,24357,5.30,5.59,5.59,0.62,A,090
2026,24358,6.49,7.20,7.20,1.28,A,090
2026,24359,8.76,7.97,7.97,1.74,A,090
2026,24360,12.35,10.11,10.11,2.62,A,090
2026,24361,14.05,10.81,10.81,3.00,A,090
2026,24362,14.94,11.10,11.10,3.18,A,090
2026,24363,21.45,13.16,13.16,4.33,A,090
2026,24365,8.40,7.95,7.95,1.78,A,090
