cpt_hcpcs,modifier_1,modifier_2,age_from,age_thru,age_units,nonfacility_total_rvus_or_base_units,nonfacility_conversion_factor,nonfacility_allowed_amount,nonfacility_effective_start,facility_total_rvus_or_base_units,facility_conversion_factor,facility_allowed_amount,facility_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,tos,tos_desc,source_code,source_description
23930,,,21,999,Years,10.78,26.7305,288.15,2026-03-01,6.61,26.7305,176.69,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
23931,,,0,20,Years,9.01,28.0672,252.89,2026-03-01,4.94,28.0672,138.65,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
23931,,,21,999,Years,9.01,26.7305,240.84,2026-03-01,4.94,26.7305,132.05,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
23935,,,0,20,Years,,,,,15.87,28.0672,445.43,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
23935,,,21,999,Years,,,,,15.87,26.7305,424.21,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24000,,,0,20,Years,,,,,14.83,28.0672,416.24,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24000,,,21,999,Years,,,,,14.83,26.7305,396.41,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24006,,,0,20,Years,,,,,21.97,28.0672,616.64,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24006,,,21,999,Years,,,,,21.97,26.7305,587.27,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24065,,,0,20,Years,7.75,28.0672,217.52,2026-03-01,4.94,28.0672,138.65,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24065,,,21,999,Years,7.75,26.7305,207.16,2026-03-01,4.94,26.7305,132.05,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24066,,,0,20,Years,19.07,28.0672,535.24,2026-03-01,13.10,28.0672,367.68,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24066,,,21,999,Years,19.07,26.7305,509.75,2026-03-01,13.10,26.7305,350.17,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24071,,,0,20,Years,12.43,28.0672,348.88,2026-03-01,12.43,28.0672,348.88,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24071,,,21,999,Years,12.43,26.7305,332.26,2026-03-01,12.43,26.7305,332.26,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24073,,,0,20,Years,21.18,28.0672,594.46,2026-03-01,21.18,28.0672,594.46,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24073,,,21,999,Years,21.18,26.7305,566.15,2026-03-01,21.18,26.7305,566.15,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24075,,,0,20,Years,15.89,28.0672,445.99,2026-03-01,10.15,28.0672,284.88,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24075,,,21,999,Years,15.89,26.7305,424.75,2026-03-01,10.15,26.7305,271.31,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24076,,,0,20,Years,,,,,16.80,28.0672,471.53,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24076,,,21,999,Years,,,,,16.80,26.7305,449.07,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24077,,,0,20,Years,,,,,31.12,28.0672,873.45,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24077,,,21,999,Years,,,,,31.12,26.7305,831.85,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24079,,,0,20,Years,,,,,40.21,28.0672,1128.58,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24079,,,21,999,Years,,,,,40.21,26.7305,1074.83,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24100,,,0,20,Years,,,,,13.04,28.0672,366.00,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24100,,,21,999,Years,,,,,13.04,26.7305,348.57,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24101,,,0,20,Years,,,,,15.58,28.0672,437.29,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24101,,,21,999,Years,,,,,15.58,26.7305,416.46,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24102,,,0,20,Years,,,,,19.00,28.0672,533.28,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24102,,,21,999,Years,,,,,19.00,26.7305,507.88,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24105,,,0,20,Years,,,,,11.23,28.0672,315.19,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24105,,,21,999,Years,,,,,11.23,26.7305,300.18,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24110,,,0,20,Years,,,,,18.25,28.0672,512.23,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24110,,,21,999,Years,,,,,18.25,26.7305,487.83,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24115,,,0,20,Years,,,,,22.64,28.0672,635.44,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24115,,,21,999,Years,,,,,22.64,26.7305,605.18,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24116,,,0,20,Years,,,,,26.28,28.0672,737.61,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24116,,,21,999,Years,,,,,26.28,26.7305,702.48,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24120,,,0,20,Years,,,,,16.51,28.0672,463.39,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24120,,,21,999,Years,,,,,16.51,26.7305,441.32,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24125,,,0,20,Years,,,,,19.22,28.0672,539.45,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24125,,,21,999,Years,,,,,19.22,26.7305,513.76,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24126,,,0,20,Years,,,,,20.06,28.0672,563.03,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24126,,,21,999,Years,,,,,20.06,26.7305,536.21,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24130,,,0,20,Years,,,,,15.88,28.0672,445.71,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24130,,,21,999,Years,,,,,15.88,26.7305,424.48,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24134,,,0,20,Years,,,,,22.97,28.0672,644.70,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24134,,,21,999,Years,,,,,22.97,26.7305,614.00,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24136,,,0,20,Years,,,,,19.50,28.0672,547.31,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24136,,,21,999,Years,,,,,19.50,26.7305,521.24,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24138,,,0,20,Years,,,,,21.23,28.0672,595.87,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24138,,,21,999,Years,,,,,21.23,26.7305,567.49,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24140,,,0,20,Years,,,,,21.61,28.0672,606.53,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24140,,,21,999,Years,,,,,21.61,26.7305,577.65,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24145,,,0,20,Years,,,,,18.33,28.0672,514.47,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24145,,,21,999,Years,,,,,18.33,26.7305,489.97,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24147,,,0,20,Years,,,,,19.39,28.0672,544.22,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24147,,,21,999,Years,,,,,19.39,26.7305,518.30,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24149,,,0,20,Years,,,,,36.07,28.0672,1012.38,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24149,,,21,999,Years,,,,,36.07,26.7305,964.17,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24150,,,0,20,Years,,,,,46.79,28.0672,1313.26,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24150,,,21,999,Years,,,,,46.79,26.7305,1250.72,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24152,,,0,20,Years,,,,,40.79,28.0672,1144.86,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24152,,,21,999,Years,,,,,40.79,26.7305,1090.34,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24155,,,0,20,Years,,,,,26.03,28.0672,730.59,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24155,,,21,999,Years,,,,,26.03,26.7305,695.79,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24160,,,0,20,Years,,,,,38.19,28.0672,1071.89,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24160,,,21,999,Years,,,,,38.19,26.7305,1020.84,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24164,,,0,20,Years,,,,,22.26,28.0672,624.78,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24164,,,21,999,Years,,,,,22.26,26.7305,595.02,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24200,,,0,20,Years,6.72,28.0672,188.61,2026-03-01,4.39,28.0672,123.22,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24200,,,21,999,Years,6.72,26.7305,179.63,2026-03-01,4.39,26.7305,117.35,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24201,,,0,20,Years,18.62,28.0672,522.61,2026-03-01,12.40,28.0672,348.03,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24201,,,21,999,Years,18.62,26.7305,497.72,2026-03-01,12.40,26.7305,331.46,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24220,,,0,20,Years,5.59,28.0672,156.90,2026-03-01,1.97,28.0672,55.29,2022-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24220,,,21,999,Years,5.59,26.7305,149.42,2026-03-01,1.97,26.7305,52.66,2022-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24300,,,0,20,Years,,,,,13.76,28.0672,386.20,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24300,,,21,999,Years,,,,,13.76,26.7305,367.81,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24301,,,0,20,Years,,,,,23.01,28.0672,645.83,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24301,,,21,999,Years,,,,,23.01,26.7305,615.07,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24305,,,0,20,Years,,,,,17.90,28.0672,502.40,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24305,,,21,999,Years,,,,,17.90,26.7305,478.48,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24310,,,0,20,Years,,,,,14.54,28.0672,408.10,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24310,,,21,999,Years,,,,,14.54,26.7305,388.66,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24320,,,0,20,Years,,,,,23.93,28.0672,671.65,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24320,,,21,999,Years,,,,,23.93,26.7305,639.66,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24330,,,0,20,Years,,,,,22.06,28.0672,619.16,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24330,,,21,999,Years,,,,,22.06,26.7305,589.67,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24331,,,0,20,Years,,,,,24.08,28.0672,675.86,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24331,,,21,999,Years,,,,,24.08,26.7305,643.67,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24332,,,0,20,Years,,,,,19.03,28.0672,534.12,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24332,,,21,999,Years,,,,,19.03,26.7305,508.68,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24340,,,0,20,Years,,,,,18.66,28.0672,523.73,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24340,,,21,999,Years,,,,,18.66,26.7305,498.79,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24341,,,0,20,Years,,,,,23.06,28.0672,647.23,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24341,,,21,999,Years,,,,,23.06,26.7305,616.41,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24342,,,0,20,Years,,,,,23.71,28.0672,665.47,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24342,,,21,999,Years,,,,,23.71,26.7305,633.78,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24343,,,0,20,Years,,,,,22.08,28.0672,619.72,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24343,,,21,999,Years,,,,,22.08,26.7305,590.21,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24344,,,0,20,Years,,,,,33.78,28.0672,948.11,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24344,,,21,999,Years,,,,,33.78,26.7305,902.96,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24345,,,0,20,Years,,,,,21.87,28.0672,613.83,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24345,,,21,999,Years,,,,,21.87,26.7305,584.60,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24346,,,0,20,Years,,,,,33.78,28.0672,948.11,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24346,,,21,999,Years,,,,,33.78,26.7305,902.96,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24357,,,0,20,Years,,,,,12.74,28.0672,357.58,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24357,,,21,999,Years,,,,,12.74,26.7305,340.55,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24358,,,0,20,Years,,,,,16.42,28.0672,460.86,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24358,,,21,999,Years,,,,,16.42,26.7305,438.91,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24359,,,0,20,Years,,,,,20.41,28.0672,572.85,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24359,,,21,999,Years,,,,,20.41,26.7305,545.57,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24360,,,0,20,Years,,,,,27.59,28.0672,774.37,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24360,,,21,999,Years,,,,,27.59,26.7305,737.49,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24361,,,0,20,Years,,,,,30.76,28.0672,863.35,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24361,,,21,999,Years,,,,,30.76,26.7305,822.23,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24362,,,0,20,Years,,,,,32.33,28.0672,907.41,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24362,,,21,999,Years,,,,,32.33,26.7305,864.20,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24363,,,0,20,Years,,,,,43.95,28.0672,1233.55,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24363,,,21,999,Years,,,,,43.95,26.7305,1174.81,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24365,,,0,20,Years,,,,,19.74,28.0672,554.05,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24365,,,21,999,Years,,,,,19.74,26.7305,527.66,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24366,,,0,20,Years,,,,,20.94,28.0672,587.73,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24366,,,21,999,Years,,,,,20.94,26.7305,559.74,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24370,,,0,20,Years,,,,,46.60,28.0672,1307.93,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24370,,,21,999,Years,,,,,46.60,26.7305,1245.64,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24371,,,0,20,Years,,,,,53.42,28.0672,1499.35,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24371,,,21,999,Years,,,,,53.42,26.7305,1427.94,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24400,,,0,20,Years,,,,,25.36,28.0672,711.78,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24400,,,21,999,Years,,,,,25.36,26.7305,677.89,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24410,,,0,20,Years,,,,,32.27,28.0672,905.73,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24410,,,21,999,Years,,,,,32.27,26.7305,862.59,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24420,,,0,20,Years,,,,,32.35,28.0672,907.97,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24420,,,21,999,Years,,,,,32.35,26.7305,864.73,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24430,,,0,20,Years,,,,,32.20,28.0672,903.76,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24430,,,21,999,Years,,,,,32.20,26.7305,860.72,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24435,,,0,20,Years,,,,,32.99,28.0672,925.94,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24435,,,21,999,Years,,,,,32.99,26.7305,881.84,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24470,,,0,20,Years,,,,,20.69,28.0672,580.71,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24470,,,21,999,Years,,,,,20.69,26.7305,553.05,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24495,,,0,20,Years,,,,,27.70,28.0672,777.46,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24495,,,21,999,Years,,,,,27.70,26.7305,740.43,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24498,,,0,20,Years,,,,,26.39,28.0672,740.69,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24498,,,21,999,Years,,,,,26.39,26.7305,705.42,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24500,,,0,20,Years,11.48,28.0672,322.21,2026-03-01,10.57,28.0672,296.67,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24500,,,21,999,Years,11.48,26.7305,306.87,2026-03-01,10.57,26.7305,282.54,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24505,,,0,20,Years,15.79,28.0672,443.18,2026-03-01,14.12,28.0672,396.31,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24505,,,21,999,Years,15.79,26.7305,422.07,2026-03-01,14.12,26.7305,377.43,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24515,,,0,20,Years,,,,,26.94,28.0672,756.13,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24515,,,21,999,Years,,,,,26.94,26.7305,720.12,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24516,,,0,20,Years,,,,,26.23,28.0672,736.20,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24516,,,21,999,Years,,,,,26.23,26.7305,701.14,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24530,,,0,20,Years,12.11,28.0672,339.89,2026-03-01,11.08,28.0672,310.98,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24530,,,21,999,Years,12.11,26.7305,323.71,2026-03-01,11.08,26.7305,296.17,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24535,,,0,20,Years,19.43,28.0672,545.35,2026-03-01,17.83,28.0672,500.44,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24535,,,21,999,Years,19.43,26.7305,519.37,2026-03-01,17.83,26.7305,476.60,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24538,,,0,20,Years,,,,,24.16,28.0672,678.10,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24538,,,21,999,Years,,,,,24.16,26.7305,645.81,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24545,,,0,20,Years,,,,,28.40,28.0672,797.11,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24545,,,21,999,Years,,,,,28.40,26.7305,759.15,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24546,,,0,20,Years,,,,,31.68,28.0672,889.17,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24546,,,21,999,Years,,,,,31.68,26.7305,846.82,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24560,,,0,20,Years,10.54,28.0672,295.83,2026-03-01,9.34,28.0672,262.15,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24560,,,21,999,Years,10.54,26.7305,281.74,2026-03-01,9.34,26.7305,249.66,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24565,,,0,20,Years,16.96,28.0672,476.02,2026-03-01,15.48,28.0672,434.48,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24565,,,21,999,Years,16.96,26.7305,453.35,2026-03-01,15.48,26.7305,413.79,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24566,,,0,20,Years,,,,,22.25,28.0672,624.50,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24566,,,21,999,Years,,,,,22.25,26.7305,594.75,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24575,,,0,20,Years,,,,,22.58,28.0672,633.76,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24575,,,21,999,Years,,,,,22.58,26.7305,603.57,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24576,,,0,20,Years,11.15,28.0672,312.95,2026-03-01,9.94,28.0672,278.99,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24576,,,21,999,Years,11.15,26.7305,298.05,2026-03-01,9.94,26.7305,265.70,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24577,,,0,20,Years,17.45,28.0672,489.77,2026-03-01,15.90,28.0672,446.27,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24577,,,21,999,Years,17.45,26.7305,466.45,2026-03-01,15.90,26.7305,425.01,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24579,,,0,20,Years,,,,,25.63,28.0672,719.36,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24579,,,21,999,Years,,,,,25.63,26.7305,685.10,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24582,,,0,20,Years,,,,,25.17,28.0672,706.45,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24582,,,21,999,Years,,,,,25.17,26.7305,672.81,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24586,,,0,20,Years,,,,,32.99,28.0672,925.94,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24586,,,21,999,Years,,,,,32.99,26.7305,881.84,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24587,,,0,20,Years,,,,,33.13,28.0672,929.87,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24587,,,21,999,Years,,,,,33.13,26.7305,885.58,2026-03-01,10,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24600,,,0,20,Years,11.90,28.0672,334.00,2026-03-01,10.78,28.0672,302.56,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24600,,,21,999,Years,11.90,26.7305,318.09,2026-03-01,10.78,26.7305,288.15,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24605,,,0,20,Years,,,,,14.81,28.0672,415.68,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
24605,,,21,999,Years,,,,,14.81,26.7305,395.88,2026-03-01,,,,2026-03-01,2,SURGERY,PRCR402C,PHYSICIAN
