cpt_hcpcs,modifier_1,modifier_2,age_from,age_thru,age_units,nonfacility_total_rvus_or_base_units,nonfacility_conversion_factor,nonfacility_allowed_amount,nonfacility_effective_start,facility_total_rvus_or_base_units,facility_conversion_factor,facility_allowed_amount,facility_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,tos,tos_desc,source_code,source_description
00320,,,0,20,Years,,,,,6.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00320,,,21,999,Years,,,,,6.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00322,,,0,20,Years,,,,,3.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00322,,,0,20,Years,,,,,3.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00322,,,21,999,Years,,,,,3.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00326,,,0,12,Months,,,,,7.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00326,,,0,12,Months,,,,,7.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00350,,,0,20,Years,,,,,10.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00350,,,0,20,Years,,,,,10.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00350,,,21,999,Years,,,,,10.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00352,,,0,20,Years,,,,,5.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00352,,,0,20,Years,,,,,5.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00352,,,21,999,Years,,,,,5.00,24.3200,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00400,,,0,20,Years,3.00,34.0000,0.00,2019-03-01,3.00,34.0000,0.00,2019-03-01,3,CM,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
00400,,,0,20,Years,3.00,25.6000,0.00,2017-11-01,3.00,25.6000,0.00,2017-11-01,3,,,2025-03-01,7,ANESTHESIA,PRCR402C,PHYSICIAN
